name;sku;ean;slug;available;shopUrl
Bremsleiste ComfortPlus 2;CP-BL-2;4260706040915;bremsleiste-comfortplus-2;true;https://elvent.shop/product/bremsleiste-comfortplus-2/CP-BL-2
Bremsleiste ComfortPlus 4;CP-BL-4;4260706040922;bremsleiste-comfortplus-4;true;https://elvent.shop/product/bremsleiste-comfortplus-4/CP-BL-4
Bremsleiste SmartCruiser;BL-SC-0;4260706041288;bremsleiste-smartcruiser;true;https://elvent.shop/product/bremsleiste-smartcruiser/BL-SC-0
Bremsleiste WagonPro;BL-WP-0;4260706041042;bremsleiste-wagonpro;false;https://elvent.shop/product/bremsleiste-wagonpro/BL-WP-0
ComfortPlus 2;CP-2-GREY;4260706043497;comfortplus-2;true;https://elvent.shop/product/comfortplus-2/CP-2-GREY
ComfortPlus 2 B-Ware;CP-2-GREY(B);;comfortplus-2-b-ware;true;https://elvent.shop/product/comfortplus-2-b-ware/CP-2-GREY(B)
ComfortPlus 4;CP-4-GREY;4260706043503;comfortplus-4;true;https://elvent.shop/product/comfortplus-4/CP-4-GREY
ComfortPlus 4 B-Ware;CP-4-GREY(B);;comfortplus-4-b-ware;true;https://elvent.shop/product/comfortplus-4-b-ware/CP-4-GREY(B)
ComfortPlus Getränkehalter;CP-GH-0;4260706040175;comfortplus-getraenkehalter;true;https://elvent.shop/product/comfortplus-getraenkehalter/CP-GH-0
ComfortPlus Hinterrad;CP-HR-0;4260706040649;comfortplus-hinterrad;true;https://elvent.shop/product/comfortplus-hinterrad/CP-HR-0
ComfortPlus Vorderrad;CP-VR-0;4260706040786;comfortplus-vorderrad;false;https://elvent.shop/product/comfortplus-vorderrad/CP-VR-0
ComfortPlus Zugstange;CP-ZS-0;4260706040908;comfortplus-zugstange;false;https://elvent.shop/product/comfortplus-zugstange/CP-ZS-0
Dach Allrounder (ohne Streben);AR-DA-0;;dach-allrounder-ohne-streben;false;https://elvent.shop/product/dach-allrounder-ohne-streben/AR-DA-0
Dach ComfortPlus 2;CP-DA-2;4260706041516;dach-comfortplus-2;true;https://elvent.shop/product/dach-comfortplus-2/CP-DA-2
Dach ComfortPlus 4;CP-DA-4;4260706041523;dach-comfortplus-4;true;https://elvent.shop/product/dach-comfortplus-4/CP-DA-4
Dach inkl. Streben WagonPro;WP-SD-0;;dach-inkl-streben-wagonpro;false;https://elvent.shop/product/dach-inkl-streben-wagonpro/WP-SD-0
Dach SmartCruiser (ohne Streben);SC-DA-0;;dach-smartcruiser-ohne-streben;false;https://elvent.shop/product/dach-smartcruiser-ohne-streben/SC-DA-0
Dach WagonPro (ohne Streben);WP-DA-0;;dach-wagonpro-ohne-streben;false;https://elvent.shop/product/dach-wagonpro-ohne-streben/WP-DA-0
Dachstrebe aus Glasfaser für AllRounder;BW-AR-DS;4260706040021;dachstrebe-aus-glasfaser-fuer-allrounder;true;https://elvent.shop/product/dachstrebe-aus-glasfaser-fuer-allrounder/BW-AR-DS
Dachstrebe aus Glasfaser für WagonPro;BW-WP-DS;4260706040243;dachstrebe-aus-glasfaser-fuer-wagonpro;true;https://elvent.shop/product/dachstrebe-aus-glasfaser-fuer-wagonpro/BW-WP-DS
Ergonomischer Sitz ComfortPlus 2;CP-ES-2;4260706041509;ergonomischer-sitz-comfortplus-2;true;https://elvent.shop/product/ergonomischer-sitz-comfortplus-2/CP-ES-2
Ergonomischer Sitz ComfortPlus 4;CP-ES-4;4260706040106;ergonomischer-sitz-comfortplus-4;true;https://elvent.shop/product/ergonomischer-sitz-comfortplus-4/CP-ES-4
Ergonomischer Sitz mit Liegefunktion FlexProfessional 2;FP-LF-2;4260706043787;ergonomischer-sitz-mit-liegefunktion-flexprofessional-2;false;https://elvent.shop/product/ergonomischer-sitz-mit-liegefunktion-flexprofessional-2/FP-LF-2
Ergonomischer Sitz mit Liegefunktion FlexProfessional 4;FP-LF-4;4260706043794;ergonomischer-sitz-mit-liegefunktion-flexprofessional-4;false;https://elvent.shop/product/ergonomischer-sitz-mit-liegefunktion-flexprofessional-4/FP-LF-4
Falcon Scooter Nuke;F-SC-X8-NUK-RAW-RAW;4260706041592;falcon-scooter-nuke;true;https://elvent.shop/product/falcon-scooter-nuke/F-SC-X8-NUK-RAW-RAW
Falcon Scooter Predator;F-SC-X8-PRE-BLACK-RED;4260706041585;falcon-scooter-predator;true;https://elvent.shop/product/falcon-scooter-predator/F-SC-X8-PRE-BLACK-RED
FamilyStar 2;FS-2-0;;familystar-2;false;https://elvent.shop/product/familystar-2/FS-2-0
FamilyStar 2 B-Ware;FS-2-PR(B);;familystar-2-b-ware;false;https://elvent.shop/product/familystar-2-b-ware/FS-2-PR(B)
FamilyStar 4;FS-4-0;;familystar-4;false;https://elvent.shop/product/familystar-4/FS-4-0
FamilyStar 4 B-Ware;FS-4-PR(B);;familystar-4-b-ware;false;https://elvent.shop/product/familystar-4-b-ware/FS-4-PR(B)
FamilyStar Comfort 2;FSC-2-0;4260706043916;familystar-comfort-2;false;https://elvent.shop/product/familystar-comfort-2/FSC-2-0
FamilyStar Comfort 2 B-Ware;FSC-2-P-BLACK(B);;familystar-comfort-2-b-ware;false;https://elvent.shop/product/familystar-comfort-2-b-ware/FSC-2-P-BLACK(B)
FamilyStar Comfort 4;FSC-4-0;4260706043923;familystar-comfort-4;false;https://elvent.shop/product/familystar-comfort-4/FSC-4-0
FamilyStar Comfort 4 B-Ware;FSC-4-P-BLACK(B);;familystar-comfort-4-b-ware;false;https://elvent.shop/product/familystar-comfort-4-b-ware/FSC-4-P-BLACK(B)
